SG_PARTIDO,NM_PARTIDO,DS_CARGO,SG_UF,txGenFeminino,totalGenFeminino,txCorRacaPreta,totalCorRacaPreta,txCorRacaPretaParda,totalCorRacaPretaParda,txCorRacaNaoBranca,totalCorRacaNaoBranca,totalBens,avgBens,avgBensNotZero,txEstadoCivilCasado,txEstadoCivilSolteiro,txEstadoCivilSeparadoDivorciado,avgIdade,totalCandidaturas
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,PR,0.333962264150943,354,0.0811320754716981,86,0.326415094339623,346,0.344339622641509,365,188970653.11,178274.20104717,285886.010741301,0.525471698113208,0.319811320754717,0.0179245283018868,47.7245283018868,1060
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,RJ,0.329331046312178,384,0.180102915951973,210,0.494854202401372,577,0.504288164665523,588,162576035.94,139430.562555746,293989.215081374,0.545454545454545,0.324185248713551,0.00343053173241852,47.8327615780446,1166
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,RN,0.328301886792453,87,0.109433962264151,29,0.566037735849057,150,0.569811320754717,151,28130968.64,106154.598641509,162606.755144509,0.49811320754717,0.411320754716981,0.00754716981132075,45.2188679245283,265
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,RO,0.4,10,0.12,3,0.64,16,0.76,19,7460446.62,298417.8648,324367.244347826,0.44,0.36,0.0,47.72,25
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,RR,0.384615384615385,5,0.0,0,0.923076923076923,12,0.923076923076923,12,2119000,163000.0,264875.0,0.307692307692308,0.615384615384615,0.0,41.8461538461538,13
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,RS,0.405714285714286,71,0.148571428571429,26,0.314285714285714,55,0.32,56,14381259,82178.6228571429,211489.102941176,0.262857142857143,0.64,0.0114285714285714,44.8571428571429,175
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,SC,0.36144578313253,30,0.156626506024096,13,0.253012048192771,21,0.265060240963855,22,9897520.06,119247.229638554,299924.85030303,0.397590361445783,0.481927710843373,0.0120481927710843,48.6626506024096,83
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,SE,0.346320346320346,80,0.134199134199134,31,0.874458874458874,202,0.878787878787879,203,15821018.48,68489.2574891775,143827.440727273,0.346320346320346,0.558441558441558,0.00432900432900433,44.5324675324675,231
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,SP,0.341931216931217,1034,0.104166666666667,315,0.365079365079365,1104,0.376653439153439,1139,415937853.74,137545.586554233,246700.980865955,0.524801587301587,0.328703703703704,0.00925925925925926,48.4566798941799,3024
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,TO,0.335664335664336,48,0.118881118881119,17,0.881118881118881,126,0.888111888111888,127,50019228.27,349784.813076923,581618.933372093,0.475524475524476,0.496503496503497,0.0,44.041958041958,143
